vclaim_id	vclaim	title
vclaim-sno-1475-immigrant-children-missing	The U.S. government lost track of some 1,475 immigrant children who were placed in sponsor homes.	Did the U.S. Government Lose Track of 1,475 Migrant Children?
vclaim-sno-15-days-darkness-november	NASA has confirmed the Earth will experience 15 straight days of darkness.	NASA Confirms 15 Days of Darkness?
vclaim-sno-15-foot-diamondback-rattler	Photographs show a 15-foot diamondback rattlesnake captured in Florida.	15-Foot Eastern Diamondback Rattlesnake
vclaim-sno-15-homeless-dead-in-chicago	Fifteen homeless people in Chicago were found dead on the street because of record-low temperatures that hit the city in late January 2019.	Were 15 Homeless People Found Frozen to Death in Chicago?
vclaim-sno-15-year-old-killed-trespassing-while-playing-pokemon-go	A homeowner shot and killed a teenaged boy trespassing during a round of Pokemon Go.	15-Year-Old Killed Trespassing While Playing Pokemon Go
vclaim-sno-17-women-pregnant-by-same-man	An Elgin, Illinois man simultaneously impregnated 17 local women in hopes of setting a world record.	Did 17 Women Discover They’re All Pregnant by the Same Man?
vclaim-sno-17-year-old-astronaut-training	A 17-year-old girl named Alyssa Carson is being trained by NASA to become an astronaut.	Is NASA Training a 17-Year-Old Girl to Be an Astronaut?
vclaim-sno-174-democrats-tsa-vote	"174 Democrats voted against a ""bipartisan act to stop convicted terrorists and sexual predators from becoming TSA Agents."""	Did 174 Democrats Vote Against Barring TSA from Hiring Terrorists and Sexual Predators?
vclaim-sno-179-kids-missing-indiana-2017	In the first 45 days of 2017, 179 children went missing in the state of Indiana.	Did 179 Children Go Missing  in Indiana in the First 47 Days of 2017?
vclaim-sno-18-inches-of-bullet-casings-cover-chicago-streets	"The city of Chicago sent out ""ammunition-removal vehicles"" to clear a foot and a half of bullet casings from the streets."	Do 18 Inches of Bullet Casings Cover Chicago Streets?
vclaim-sno-18-legally-adopt-17-year-old	In the United States, an 18-year-old person is legally permitted to adopt a 17-year-old person.	Can an 18-Year-Old ‘Legally Adopt’ a 17-Year-Old?
vclaim-sno-18-migrant-children-died-obama	Eighteen undocumented immigrant children died in the custody of U.S. Border Patrol during the Obama administration.	Did 18 Migrant Children Die in Border Patrol Custody During the Obama Administration?
vclaim-sno-18-million-illegal-immigrants-checks-shutdown	Some 18 million 'illegal immigrants' received benefit checks during a government shutdown in January 2019.	Did 18 Million ‘Illegal Immigrants’ Receive Government Checks During the Shutdown?
vclaim-sno-180-day-countdown-ufo	In December 2020, a U.S. federal omnibus spending bill that included COVID-19 relief started a 180-day countdown to an unclassified report on UFO disclosures.	Did 180-Day Countdown to UFO Disclosures Begin With COVID-19 Relief Bill?
vclaim-sno-1860-painting-woman-iphone	An 1860 painting by Austrian artist Ferdinand Georg Waldmüller shows a woman walking down a path focused on an iPhone in her hands, thus depicting a time traveler.	Does This 1860 Painting Depict a Time Traveler Holding an iPhone?
vclaim-sno-1866-milligan-social-distancing	"The 1866 ""Ex parte Milligan"" precludes states from enforcing regulations that prevent residents from freely traveling or earning a living."	Does an 1866 Court Case Bar States from Enforcing Social-Distancing Regulations?
vclaim-sno-1872-rules-for-teachers	Document issued in 1872 lists rules of behavior for public school teachers.	1872 Rules for Teachers
vclaim-sno-1898-julia-richardson	A photograph from 1898 shows Julia Richardson, a tennis player who won six doubles championships.	Is This Tennis Champion Julie Richardson — in 1898?
vclaim-sno-1898-oklahoma-tornado	A photograph shows two men standing on a road in front of a tornado in Oklahoma in 1898.	Is This the 1898 Oklahoma Tornado?
vclaim-sno-1900s-playground-photo	A black-and-white photograph shows children playing on  frighteningly dangerous (by modern standards)  playground equipment in a public park.	Is This a Photograph of a Playground from 1900?
vclaim-sno-191-years-old-mama-esifiho-may-oldest-woman-alive	A 191-year-old woman named Mama Esifiho lives in Nigeria.	At 191 Years Old, Mama Esifiho May be Oldest Woman Alive
vclaim-sno-1911-poseidon-adventure	At the moment the Titanic hit an iceberg in the north Atlantic, the silent version of the film The Poseidon Adventure was being screened aboard ship.	1911 Poseidon Adventure
vclaim-sno-1912-article-global-warming	A 14 August 1912 article from a New Zealand newspaper contained a brief story about how burning coal might produce future warming by adding carbon dioxide to the atmosphere.	Did a 1912 Newspaper Article Predict Global Warming?
vclaim-sno-1918-quarantine-ad-for-phone	"A picture shows a 1918 advertisement touting the benefits of the Bell Telephone for maintaining relationships while people were under quarantine during the ""Spanish flu."""	Is This a 1918 Quarantine Ad for the Bell Telephone?
vclaim-sno-1922-new-york-times-hitler	A 1922 New York Times article reported that Adolf Hitler “was merely using anti-Semitic propaganda as a bait to catch masses of followers”.	Did a 1922 Article Advise Not to Worry About Hitler’s Anti-Semitism?
vclaim-sno-1930s-housewife-smile-therapy	"Image depicts ""attitude adjustment"" and ""smile therapy"" forced upon American housewives in the 1930s institutionalized for ""not taking care of themselves"" and acting ""depressed."""	Does This Image Show a 1930s Housewife Forced into ‘Smile Therapy’?
vclaim-sno-1945-airplane-reappears	A U.S. military airplane lost in 1945 mysteriously reappeared 75 years later.	Did a U.S. Military Airplane Lost in 1945 Reappear 75 Years Later?
vclaim-sno-1950s-magazine-ad-colt-cobra	"A magazine advertisement from the 1950s promoted a handgun for women's use with the slogan ""for that strange, depraved creep who won't leave you alone."""	Is This a 1950s Women’s Magazine Ad for a Handgun to Shoot ‘Depraved Creeps’?
vclaim-sno-1956-republican-platform	A summary of the 1956 Republican platform describes a significant divergence from the party's focus in recent decades.	1956 Republican Platform
vclaim-sno-1970-quarter-ebay-canada	A handful of 1970s quarters are worth a fortune, as they were minted on the back of a 1941 Canadian coin.	1970 U.S. Quarter Struck on 1941 Canadian Quarter
vclaim-sno-1970s-anti-marijuana-ad	A photograph of a naked man and woman with a French horn was part of an anti-marijuana ad.	Is This a 1970s Anti-Marijuana Ad?
vclaim-sno-1992-mad-magazine-trump	A cartoon lampooning Donald Trump over his lack of business acumen was published in a 1992 issue of Mad Magazine.	Did MAD Magazine Lampoon Donald Trump in 1992?
vclaim-sno-1994s-most-bizarre-suicide	A coroner had his hands full determining just that in the case of a man who jumped off a building, only to have a shotgun blast finish him off halfway down.	1994’s Most Bizarre Suicide
vclaim-sno-1996-law-non-citizens-vote	The Illegal Immigration Reform and Immigrant Responsibility Act of 1996 says that non-citizens who vote must be deported.	Does a 1996 U.S. Law Say Non-Citizens Who Vote Must Be Deported?
vclaim-sno-1998-trump-people-quote	"Donald Trump said in 1998 that he would one day run as a Republican because they are the ""dumbest group of voters."""	Did Donald Trump Say Republicans Are the ‘Dumbest Group of Voters’?
vclaim-sno-2-million-bikers-to-dc	"The ""2 Millions Bikers to DC"" group has been denied a ""no-stop"" permit for a Washington ride-through on 11 September 2013."	2 Million Bikers to DC
vclaim-sno-20-dollar-bill-folds-spells-trump	"The $20 bill can be folded to spell the name ""Trump."""	Can the $20 Bill Be Folded to Spell ‘Trump’?
vclaim-sno-200-nebraska-farmers	Some 200 Nebraska farmers remained silent during an auction so a man could get his family farm back.	Did 200 Nebraska Farmers Remain Silent at Auction So a Man Could Get His Farm Back?
vclaim-sno-20000-bills	Old Canadian $2 bills are worth $20,000 each.	Are Old Canadian $2 Bills Worth $20,000?
vclaim-sno-20000-dead-voters-in-pennsylvania	Pennsylvania has 20,000 dead persons listed on its election rolls, which is evidence of massive voter fraud in 2020.	Debunking Trump Tweets: 20,000 Dead Voters in Pennsylvania
vclaim-sno-2005-darwin-awards	An Internet-circulated list entitled “2005 Darwin Awards” details actual mishaps and demises.	2005 Darwin Awards
vclaim-sno-2009-trump-tweet-pandemic	"U.S. President Donald Trump tweeted in November 2009 that ""Obama's handling of this whole pandemic has been terrible!"" and that he ""would never let thousands of Americans die from a pandemic while in office."""	Did Trump Tweet in 2009 That He Would ‘Never Let Thousands of Americans Die From a Pandemic’?
vclaim-sno-2011-california-traffic-ticket-fines	List details fines for violations of California vehicle codes taking effect in 2011.	2011 California Traffic Ticket Fines
vclaim-sno-2011-w-2-tax-forms-and-hr3590	Starting in 2011, all employees will have to pay taxes on the value of health insurance provided by their employers.	2011 W-2 Tax Forms and HR3590
vclaim-sno-2011	The year 2011 produces some dates with unusual combinations of 1s.	2011
vclaim-sno-2012-us-olympic-team-uniforms	Uniforms for the 2012 U.S. Olympic team were made in China.	2012 U.S. Olympic Team Uniforms Made in China
vclaim-sno-2012-voter-fraud	A list cites instances proving voter fraud in the 2012 U.S. presidential election.	Does This List Prove Voter Fraud in 2012?
vclaim-sno-2014-super-bowl-rigged	The FBI is investigating the possible rigging of the 2014 Super Bowl.	Super Bowl XLVIII Believed to Have Been Rigged
vclaim-sno-2015-pontiac-firebird-trans-am	General Motors is resurrecting the Pontiac Firebird Trans Am for 2015.	GM Is Bringing the Pontiac Firebird Back?
vclaim-sno-2016-obamas-america	Scott Paulson penned an opinion piece about the film	2016: Obama’s America
vclaim-sno-2017-jobs-growth-trump	In 2017, President Donald Trump's first year in office, jobs growth was the lowest it has been since 2011.	Did Donald Trump’s First Year as President See the Lowest Jobs Growth Since 2011?
vclaim-sno-2017-tax-bill	We investigate an assortment of claims about the 2017 tax bill and its provisions.	Answering Your Questions About the 2017 Tax Bill
vclaim-sno-2018-easter-valentines-calendar-quirk	Two observances important to Christianity fall on Valentine's Day and April Fools' Day in 2018.	Another ‘Amazing’ 2018 Calendar Quirk?
vclaim-sno-2018s-amazing-calendar	In the year 2018, all twelve days on which the month and day share common ordinal values falls on a Sunday.	2018’s ‘Amazing’ Calendar
vclaim-sno-2020-election-over	"As of mid-November 2020, the U.S. presidential election remained ""far from over,"" thus enough uncertainty about the outcome remained that U.S. President Donald Trump could reasonably claim he might still be the winner."	Is the 2020 Election ‘Far From Over’?
vclaim-sno-2020-presidential-winner-announced	The winner of the 2020 U.S. presidential has been announced.	Was the 2020 US Presidential Election Winner Announced Yet?
vclaim-sno-2020-revision	ABC News’	John Stossel Fired?
vclaim-sno-2020-summer-olympics-logo	An image shows the official 2020 Olympic logo.	Is This the 2020 Summer Olympics Logo?
vclaim-sno-2021-dodge-ram	"A picture shows a silver-colored and heavily armored ""2021 Dodge Ram"" pickup truck, a dramatic departure from previous designs."	Does This Picture Show an Armored ‘2021 Dodge Ram’?
vclaim-sno-21-dead-in-ontario	Twenty-one people were killed in a mass shooting in Ontario (or other locations).	21 Dead, Many Injured in Ontario
vclaim-sno-21-gun-reboot	Eau Claire schools canceled a planned Veterans Day ceremony over concerns about a	Eau Claire Schools Canceled Veterans Day Over Gun Salute
vclaim-sno-21-gun-salute-2	The U.S. federal government is enacting a nationwide minimum hunting age of twenty-one (or eighteen).	Federal Government to Restrict Hunting for Minors
vclaim-sno-21-gun-salute	Twenty-one guns are fired in U.S. national military salutes because the digits in 1776 add up to 21.	How Did the 21-Gun Salute Come to Be?
vclaim-sno-22-clinton-foundation-employees-arrested	The FBI arrested 22 employees of the Clinton Foundation on the first day of an investigation into alleged illegal activities.	Were 22 Clinton Foundation Employees Arrested on First Day of FBI Investigation?
vclaim-sno-22-missionaries-prayer-request	Twenty-two missionaries (or missionary families) are about to be executed in Afghanistan.	’22 Christian Missionaries Sentenced to Death’ Prayer Request
vclaim-sno-23-seniors-die-from-flu-shot	The high-dose Fluzone vaccine caused the deaths of 23 senior citizens during a clinical trial.	Did 23 Seniors Die After Receiving a Flu Shot Sold by Pharmacies?
vclaim-sno-23-weeks-baby-abortion	"In 2006, an abortion-clinic owner cut the umbilical cord of a baby born alive before ""throwing"" her in a biohazard bag and putting her remains in ""the trash."""	Was a Baby Born Alive at 23 Weeks ‘Thrown in the Trash’?
vclaim-sno-23-werent-killed-virginia-protest	At least 23 people were killed at a Jan. 20, 2020 Second Amendment rally in Richmond, Virginia.	No, 23 People Weren’t Killed at Virginia ‘White Supremacist’ Gun-Rights Protest
vclaim-sno-23rd-psalm-dog	A seeing eye dog named Lucky caused the deaths of four of his owners.	Dog Kills 23 Owners
vclaim-sno-24-cans-of-red-bull	A video shows a man suffering the deleterious effects of drinking 24 cans of Red Bull.	Does a Video Show the Effects of Drinking 24 Cans of Red Bull?
vclaim-sno-244-inmates-fijian-prison	85 (or 244) inmates have escaped from a Fijian prison.	Did 244 Inmates Escape From a Fijian Prison?
vclaim-sno-25-million-fraud-votes-for-clinton	An NPR study determined that 25 million fraudulent votes had been cast for Hillary Clinton in the 2016 presidential election.	Did a Study Determine 25 Million Fraudulent Votes Were Cast for Hillary Clinton?
vclaim-sno-251-mass-shootings-in-us	The United States had 251 mass shootings during the first 216 days of 2019.	Did the U.S. Have 251 Mass Shootings in the First 216 Days of 2019?
vclaim-sno-26-guards	Missionary is protected from murderous attackers by the miraculous appearance of 26 armed guards.	Missionary Guarded by Angels
vclaim-sno-27-republicans-endorse-biden	In August 2020, 27 former Republican members of Congress endorsed Joe Biden for President of the United States.	Did 27 Republicans Take the ‘Unprecedented’ Step of Endorsing Biden?
vclaim-sno-27000-people-came-to-a-bernie-sanders-rally-in-california	Photograph depicts a Bernie Sanders rally in California attended by more than 27,000 people that was ignored by the news media.	27,000 People Came to a Bernie Sanders Rally in California
vclaim-sno-278-years-golf	Trump has spent 278.5 years of presidential salary funded by taxpayers on golf outings.	Has Trump Spent ‘278.5 Years’ of Salary on Taxpayer-Funded Golf Outings?
vclaim-sno-28-foot-crocodile-killed-australia-1957	A photograph shows a 28-foot-long crocodile that was killed in Australia in 1957.	Is This a 28-Foot-Long Crocodile That Was Killed in Australia in 1957?
vclaim-sno-280-pound-catfish	Photograph shows a 280-pound catfish caught by an Italian fisherman.	280-Pound Catfish
vclaim-sno-28th-amendment	Warren Buffett proposed a constitutional amendment that seeks to require laws apply equally to U.S. citizens and members of Congress.	The 28th Amendment
vclaim-sno-29-august-hurricanes	Four major hurricanes have hit the United States on 29 August, across 12 years, forming a meaningful pattern.	Is There a Link Between Major Hurricanes and 29 August?
vclaim-sno-3-horned-ankole-cow-uganda	A video shows a three-horned ankole cow in Uganda.	Is This a 3-Horned Ankole Cow in Uganda?
vclaim-sno-3-musketeers	The	3 Musketeers
vclaim-sno-30-marines-killed-helicopter	Thirty Marines were just killed in a helicopter crash.	Were 30 Marines Just Killed in a Helicopter Crash?
vclaim-sno-30-point-buck	Photographs show a 30-point buck shot in Wisconsin by a 14-year-old Amish boy using a hand-made longbow.	30 Point Buck!
vclaim-sno-300-children-found-frozen-alive	A video shows 300 children who were found frozen alive for purposes of organ harvesting.	Were 300 Children Found Frozen Alive for Organ Harvesting?
vclaim-sno-30000-scientists-reject-climate-change	30,000 scientists have signed a petition arguing that there is no convincing scientific evidence for anthropogenic climate change.	Did 30,000 Scientists Declare Climate Change a Hoax?
vclaim-sno-300000-wisconsin-voters-turned-away-due-to-voter-id-laws	Donald Trump won the state of Wisconsin by 27,000 votes, but 300,000 Wisconsin voters were turned away at the polls for insufficient identification.	300,000 Wisconsin Voters ‘Turned Away’ Due to Voter ID Laws?
vclaim-sno-35000-soldiers-dead-anthrax-vaccinations	A government report from 2008 states that 35,000 veterans of the first Gulf War died as a direct result of adverse effects from an Anthrax vaccine they were mandated to receive.	Are 35,000 Gulf War Soldiers Dead Due to Anthrax Vaccinations?
vclaim-sno-39-missing-children-trailer-ga	Thirty-nine missing children were found in a double-wide trailer in the state of Georgia.	Were 39 Missing Children Found in a Trailer in Georgia?
vclaim-sno-3d-printed-rhino-horn-developed	A biotech company has developed a 3D synthetic rhino horn that will eventually undercut the market for poached horns.	Have 3D Printed Rhino Horns Been Developed to Stop Poaching?
vclaim-sno-3d-printer	Video clip shows a wrench being duplicated by a 3D printer.	3D Printer
vclaim-sno-3rd-grade-students-disciplined	"Two third-grade elementary school students were disciplined for saying ""Jesus"" in front of non-Christian students."	Were 3rd-Grade Students Disciplined For Saying ‘Jesus’ in Front of Non-Christians?
vclaim-sno-4-dem-senators-turn-gop	Four Democratic U.S. senators switched to the Republican Party in December 2019 due to their opposition to President Donald Trump's impeachment.	Did 4 Democratic Senators Turn Republican Because They Oppose Impeachment?
vclaim-sno-4-year-old-boy-accused-of-hacking-fbi-database	A 4-year-old boy was accused of hacking the FBI's databases.	4-Year-Old Boy Accused of Hacking FBI Database
vclaim-sno-400-ft-ice-ship-antarctica	"A ""400-foot ice ship"" was discovered in satellite images found on Google Maps."	Was a ‘400-Foot Ice Ship’ Discovered in Antarctica on Google Maps?
vclaim-sno-400-papers-published-in-2017-prove-that-global-warming-is-myth	Hundreds of papers published in 2017 prove that global warming is a myth.	Do Hundreds of Papers Published in 2017 ‘Prove’ That Global Warming is a Myth?
vclaim-sno-400-pound-woman-sue-paris-zoo-escaped-hippo-tried-rape	A 400-pound woman sued a Paris zoo after an escaped hippo tried to rape her.	Did a Woman Sue a Paris Zoo After an Escaped Hippo Tried to Rape Her?
vclaim-sno-41-lb-rat-photo	A photograph shows a 41-lb caught in New York City.	41-Lb. Rat Caught in New York City?
vclaim-sno-41-senators-vote-babies-born-alive	In 2019 and 2020, Democratic and Independent U.S. Senators voted to allow health care practitioners to let babies die, untreated, if born alive after an abortion.	Did 41 Senators ‘Vote to Let Babies Scream Until They Die If Born Alive’?
vclaim-sno-413-chicken-nuggets-eaten	A man was rushed to the hospital after eating 413 chicken nuggets.	Was a Man Paralyzed After Eating 413 Chicken Nuggets?
vclaim-sno-41999-and-change	Photograph shows a 419.99 mile-marker sign along I-70 in Colorado.	419.99 and Change
vclaim-sno-420	The term '420' entered drug parlance as a term signifying the time to light up a joint.	The Origins of 420
vclaim-sno-425-pound-teacher-suspended-sitting-student-farting-mouth	"A 425-pound Iowa teacher was suspended after pinning a student down and ""farting in his mouth."""	Was 425-Pound Teacher Suspended for Sitting on Student and Farting in His Mouth?
vclaim-sno-43-percent-food-stamps-illegal	At least 43% of all food stamp beneficiaries are undocumented immigrants.	Are 43 Percent of All Food Stamps ‘Given to Illegals’?
vclaim-sno-430-pound-buck	Photographs shows a 430-pound buck shot in Hartford, Michigan in November 2014.	430-Pound Buck Shot in Michigan?
vclaim-sno-449000-californians-jury-duty	449,000 California residents turned down jury duty because they are not U.S. citizens, despite being registered to vote.	Did 449,000 Californians Turn Down Jury Duty Because They Are Undocumented Immigrants?
vclaim-sno-450-pound-dog	Photographs show a large, 450-pound dog.	Is This 450-Pound Dog Real?
vclaim-sno-4chan-user-prediction-las-vegas-shooting	An anonymous 4chan user predicted the October 2017 Las Vegas Strip mass shooting.	Did an Anonymous 4chan User Predict the Las Vegas Shooting Three Weeks in Advance?
vclaim-sno-5-meter-tall-human-skeleton	A photograph shows a 5-meter-tall human skeleton that was unearthed in Australia.	Was a 5-Meter-Tall Human Skeleton Unearthed in Australia?
vclaim-sno-5-million-bikers-video	A video shows 5 million bikers on their way to Washington D.C. to demand an end to the Russia investigation.	Are 5 Million Bikers Heading to D.C. to Demand an End to the Russia Investigation?
vclaim-sno-5-people-atop-skyscraper-spire	A photograph shows five people atop a skyscraper spire.	Is This a Photo of 5 People Atop a Skyscraper Spire?
vclaim-sno-5-year-old-boy-dies-in-santas-arms	A Tennessee boy died in the arms of a local man portraying Santa Claus during a hospital visit.	Did a Hospitalized 5-Year-Old Boy Die in Santa’s Arms?
vclaim-sno-50-foot-megalodon-video	A video shows a Megaladon Shark at the bottom of the Mariana Trench.	50-Foot Megalodon Captured on Video
vclaim-sno-50-miles-car-insurance	U.S. states in 2020 offered new policies or guidelines for insuring vehicles that are driven less than 50 miles a day.	New Insurance Policy for Cars Driven Less Than 50 Miles a Day?
vclaim-sno-50-years-ribs-theft	A billionaire avoided jail despite raping his infant daughter, while another man was sentenced to 50 years in jail for stealing a rack of ribs.	Probation for Child Rape Vs. Prison for Stealing Ribs?
vclaim-sno-512-year-old-shark	Researchers discovered a living Greenland shark that was 512 years old.	Did Researchers Discover a 512-Year-Old Shark?
vclaim-sno-52-thoroughbred-horses-covid-19	52 thoroughbred horses whose owner died from COVID-19 are destined for slaughter if adopters are not found for them soon.	Do 52 Thoroughbred Horses Need New Homes Due to COVID-19?
vclaim-sno-526-teeth-removed-from-child	Doctors removed 526 tooth-like structures from a child's mouth in India.	Were 526 ‘Tooth Like Structures’ Removed From a Child’s Mouth?
vclaim-sno-53000-dead-florida-voters	Some 53,000 dead people were found to be included in Florida's voter rolls in November 2018.	Were 53,000 Dead People Found on Florida’s Voter Rolls?
vclaim-sno-57-states	"During a 2008 campaign stop, Barack Obama said that he had visited ""57 states,"" a reference to 57 Islamic states."	Did Barack Obama Say He Had Visited 57 (Islamic) States?
vclaim-sno-57-varieties-of-truth	Temple Baptist Church was built on land sold for fifty-seven cents, the amount saved by a little girl who had been turned away from its Sunday school.	57 Varieties of Truth
vclaim-sno-57-varieties	The	Heinz 57 Varieties
vclaim-sno-5g-cellular-test-birds	The test of a 5G cellular network is the cause of unexplained bird deaths occurring in a park in The Hague, Netherlands.	Did a 5G Cellular Network Test Cause Hundreds of Birds to Die?
vclaim-sno-5g-energy-horse	"A family posted signs expressing their distress about their home's being stalked by a ""5G energy horse."""	Is a ‘5G Energy Horse’ Stalking a Family?
vclaim-sno-5g-tower-torn-down-china-covid	A video shows people in China tearing down a 5G tower in an attempt to stop the spread of COVID-19 coronavirus disease.	Was a 5G Tower Torn Down in China To Stop COVID-19?
vclaim-sno-6-million-more-holocaust-event	"White supremacists chanted ""six million more"" at a Holocaust remembrance event."	Did White Supremacists Chant ‘6 Million More’ at Holocaust Remembrance?
vclaim-sno-6-volt-battery-hack	Video demonstrates that 6-volt lantern batteries contain	6-Volt Battery Hack
vclaim-sno-600-murders-in-chicago	Some 600 murders took place in Chicago during the second weekend of August 2018.	Did 600 Murders Take Place in Chicago Last Weekend?
vclaim-sno-600-stings-beehive	A teenage boy was stung several hundred times after he put his penis into a beehive.	Was Florida Teen Stung Over 600 Times After Inserting His Penis in a Beehive?
vclaim-sno-6000-muslims-caught-border	6,000 Muslim migrants with forged papers were captured trying to cross the U.S.-Mexico border.	6,000 Muslims with Forged Papers Caught at Southern Border
vclaim-sno-612-credit-for-deserving-americans	"President Trump announced a ""stimulus bonus of $612"" for every ""deserving"" American adult and child."	President Trump Announced a $612 Credit for ‘Deserving Americans’?
vclaim-sno-62-degree-celsius-kuwait-tree-fire	The temperature hit a record 62°C (143.6°F) in Kuwait in July 2017, causing several trees to burst into flames.	Did 62°C Temperatures in Kuwait Cause Trees to Burst into Flames?
vclaim-sno-643000-bankruptcies-in-the-u-s-every-year-due-to-medical-bills	643,000 Americans declare bankruptcy over medical bills every year.	Do 643,000 Bankruptcies Occur in the U.S. Every Year Due to Medical Bills?
vclaim-sno-666th-halloween	The Halloween celebrated on 31 October 2015 is the 666th in history.	666th Halloween
vclaim-sno-7-headed-snake	A photograph captures a rare seven-headed snake found in the Honduras.	Does This Photograph Show a 7-Headed Snake?
vclaim-sno-7-senegal-kids-die-covid-vax	Seven children in Senegal died after being administered a COVID-19 coronavirus disease vaccine in April 2020.	Did 7 Children Die in Senegal from COVID-19 Vaccine?
vclaim-sno-7-year-old-implants	A 7-year-old girl was flown to China to receive breast implants for her birthday.	Did a Seven-Year-Old Girl Get Breast Implants?
vclaim-sno-70-minutes-goodnight-moon	"Illustrated clocks in the children's book ""Goodnight Moon"" document 70 minutes of the main character ""little rabbit"" saying goodnight."	Does Lil’ Rabbit in ‘Goodnight Moon’ Take 70 Minutes to Say Good Night?
vclaim-sno-700-arrests-el-paso-border	Some 700-plus undocumented migrants, including sex offenders, were apprehended by the U.S. Border Patrol overnight.	Were 700-Plus Undocumented People, Including Sex Offenders, Caught in El Paso Overnight?
vclaim-sno-700-pound-snake	Photograph shows a 700-lb. snake pulled from a lake in Proctor, North Carolina.	700-Pound Snake
vclaim-sno-70000-pedophile-ring-busted	A recent international investigation resulted in the shutting down of an online pedophilia forum with some 70,000 members worldwide.	Was a Massive Pedophile Ring with ‘70,000 Elite Members’ Busted by Police?
vclaim-sno-72-hour-challenge	"Teenagers are daring one another to a 72-hour challenge (or ""Game of 72""), during which they disappear for several days."	72-Hour Challenge
vclaim-sno-736-pound-catfish	A photograph shows a 736-pound catfish caught in the Mississippi River.	Was a 736-Pound Catfish Caught in the Mississippi River?
vclaim-sno-7d-hologram-park	A 7D hologram park in Japan features virtual animals that can be touched by visitors.	Does Japan Have a ‘7D’ Hologram Animal Park?
vclaim-sno-7d-hologram-whale-video	"A video shows a ""7D Hologram"" of a whale inside a school gymnasium."	‘7D’ Whale Hologram
vclaim-sno-7up-discontinued	Parent company Keurig Dr Pepper announced in May 2020 that it would be discontinuing its popular citrus drink, 7UP, with the last day of production being Dec. 1, 2020.	Was 7UP Discontinued?
vclaim-sno-7up	The soft drink 7Up was named for the number of its ingredients.	Origins of the 7Up Soft Drink Name
vclaim-sno-8-6-kilogram-baby	A photograph shows a newborn child who weighed 8.6 kg (18.96 lbs.) at birth.	Is This a Photograph of 8.6-Kilogram Baby?
vclaim-sno-8-mile-sequel-2016	Eminem biopic '8 Mile' will return with a sequel in late 2016.	8 Mile Sequel Confirmed for December 2016?
vclaim-sno-80-percent-atlanta-gay	A study found that 80 percent of black men in Georgia were homosexual.	80 Percent of Black Men in Atlanta are Gay?
